hourstamp,organization_id,environment_id,project_id,platform_id,country,events,acm_events,users,acm_users,new_users,acm_new_users,payers,acm_payers,revenue,acm_revenue,purchases,acm_purchases
1446534000,92,1,4,1,SE,107,400,3,11,0,1,0,0,0,0,0,0
1446534000,41,3,34,25,YE,0,30,0,2,0,0,0,0,0,0,0,0
1446534000,39,3,18,2,CH,2165,10972,149,560,2,2,0,2,0,2398,0,2
1446534000,80,1,37,1,NZ,13,31,1,2,1,2,0,0,0,0,0,0
1446534000,41,3,37,8,QA,6,11,2,5,0,0,0,0,0,0,0,0
1446534000,41,3,37,8,UZ,0,23,0,2,0,0,0,0,0,0,0,0
1446534000,34,3,17,2,GB,0,866,0,21,0,0,0,0,0,0,0,0
1446534000,80,1,40,1,UA,444,1137,30,78,2,11,0,0,0,0,0,0
1446534000,80,1,19,1,VC,2,120,1,27,0,1,0,0,0,0,0,0
1446534000,41,3,37,25,AF,23,209,1,2,1,1,0,0,0,0,0,0
1446534000,97,1,10,1,RU,10,63,1,2,0,0,0,0,0,0,0,0
1446534000,80,1,19,1,UZ,12,37,3,7,0,0,0,0,0,0,0,0
1446534000,39,3,26,30,MM,498,2414,22,67,0,8,0,0,0,0,0,0
1446534000,80,1,61,1,BG,1871,9773,670,2758,31,79,1,1,499,499,1,1
1446534000,80,1,15,1,TG,0,14,0,2,0,0,0,0,0,0,0,0
1446534000,41,3,46,25,CY,109,619,14,55,1,3,0,0,0,0,0,0
1446534000,80,1,15,1,RU,16768,80772,1710,5224,27,127,3,7,1997,3292,3,8
1446534000,41,3,41,8,MX,0,506,0,22,0,3,0,0,0,0,0,0
1446534000,39,3,18,2,BE,523,1898,42,110,0,1,0,1,0,399,0,1
1446534000,41,3,39,8,PT,18,170,5,15,0,1,0,0,0,0,0,0
1446534000,35,11,16,2,VU,0,48,0,1,0,0,0,0,0,0,0,0
1446534000,80,1,15,1,CY,932,7554,100,723,1,3,0,0,0,0,0,0
1446534000,41,3,44,25,KR,12281,44506,1086,2642,125,482,0,2,0,1697,0,3
1446534000,117,1,6,1,AM,36,116,3,5,0,0,0,0,0,0,0,0
1446534000,9,5,6,2,EE,1,2,1,2,1,1,0,0,0,0,0,0
1446534000,80,1,39,1,LB,0,6,0,1,0,0,0,0,0,0,0,0
1446534000,41,3,46,25,AO,4,83,1,6,0,1,0,0,0,0,0,0
1446534000,97,1,4,1,KR,1595,9358,72,244,0,3,0,0,0,0,0,0
1446534000,28,3,18,2,SE,9,366,1,5,0,0,0,0,0,0,0,0
1446534000,41,3,39,8,BS,0,47,0,5,0,1,0,0,0,0,0,0
1446534000,43,3,38,2,DE,1283,5212,39,128,2,4,0,0,0,0,0,0
1446534000,41,3,39,8,GI,14,20,1,2,0,0,0,0,0,0,0,0
1446534000,80,1,19,1,BM,0,32,0,8,0,0,0,0,0,0,0,0
1446534000,80,1,15,1,ZW,17,120,3,14,0,0,0,0,0,0,0,0
1446534000,41,3,38,25,IN,7889,37323,445,1636,43,212,0,0,0,0,0,0
1446534000,108,3,1,1,SG,47,537,7,44,0,3,0,0,0,0,0,0
1446534000,109,1,3,1,JM,0,1031,0,6,0,0,0,0,0,0,0,0
1446534000,39,3,26,30,SZ,0,31,0,1,0,0,0,0,0,0,0,0
1446534000,80,1,18,1,IS,292,524,47,70,0,0,0,0,0,0,0,0
1446534000,41,3,34,8,CR,0,17,0,2,0,0,0,0,0,0,0,0
1446534000,41,3,39,25,MH,0,42,0,2,0,0,0,0,0,0,0,0
1446534000,82,1,11,1,SE,55,2082,5,55,5,52,0,0,0,0,0,0
1446534000,43,3,54,25,LY,1,1,1,1,0,0,0,0,0,0,0,0
1446534000,40,3,18,2,CH,4,4,1,1,0,0,0,0,0,0,0,0
1446534000,80,1,18,1,CH,2347,12287,345,1322,2,8,1,4,499,6496,1,4
1446534000,97,1,10,1,EC,0,182,0,3,0,0,0,0,0,0,0,0
1446534000,41,3,32,13,AR,0,78,0,6,0,0,0,0,0,0,0,0
1446534000,41,3,21,25,MX,98529,2292172,4889,62114,156,5140,6,49,2790,23028,10,72
1446534000,9,5,6,2,MF,0,1,0,1,0,0,0,0,0,0,0,0
1446534000,41,3,21,25,GE,857,3747,55,164,0,3,0,0,0,0,0,0
1446534000,35,11,16,2,TT,0,65,0,8,0,0,0,0,0,0,0,0
1446534000,41,3,44,25,ID,53244,264784,3269,9902,248,1321,0,0,0,0,0,0
1446534000,80,1,61,1,NA,34,176,8,46,3,3,0,0,0,0,0,0
